stage, home_team, away_team, kickoff_time
รอบแบ่งกลุ่ม, Mexico, South Africa, 2026-06-12 02:00
รอบแบ่งกลุ่ม, South Korea, Czech Republic, 2026-06-12 09:00
รอบแบ่งกลุ่ม, Canada, Bosnia and Herzegovina, 2026-06-13 02:00
รอบแบ่งกลุ่ม, United States, Paraguay, 2026-06-13 08:00
รอบแบ่งกลุ่ม, Qatar, Switzerland, 2026-06-14 02:00
รอบแบ่งกลุ่ม, Brazil, Morocco, 2026-06-14 05:00
รอบแบ่งกลุ่ม, Haiti, Scotland, 2026-06-14 08:00
รอบแบ่งกลุ่ม, Australia, Turkey, 2026-06-14 11:00
รอบแบ่งกลุ่ม, Germany, Curacao, 2026-06-15 00:00
รอบแบ่งกลุ่ม, Netherlands, Japan, 2026-06-15 03:00
รอบแบ่งกลุ่ม, Ivory Coast, Ecuador, 2026-06-15 06:00
รอบแบ่งกลุ่ม, Sweden, Tunisia, 2026-06-15 09:00
รอบแบ่งกลุ่ม, Spain, Cape Verde, 2026-06-15 23:00
รอบแบ่งกลุ่ม, Belgium, Egypt, 2026-06-16 02:00
รอบแบ่งกลุ่ม, Saudi Arabia, Uruguay, 2026-06-16 05:00
รอบแบ่งกลุ่ม, Iran, New Zealand, 2026-06-16 08:00
รอบแบ่งกลุ่ม, France, Senegal, 2026-06-17 02:00
รอบแบ่งกลุ่ม, Iraq, Norway, 2026-06-17 05:00
รอบแบ่งกลุ่ม, Argentina, Algeria, 2026-06-17 08:00
รอบแบ่งกลุ่ม, Austria, Jordan, 2026-06-17 11:00
รอบแบ่งกลุ่ม, Portugal, DR Congo, 2026-06-18 00:00
รอบแบ่งกลุ่ม, England, Croatia, 2026-06-18 03:00
รอบแบ่งกลุ่ม, Ghana, Panama, 2026-06-18 06:00
รอบแบ่งกลุ่ม, Uzbekistan, Colombia, 2026-06-18 09:00